user,brand,user_Truthful,user_FraudBuyNum,user_BrandPv,user_BrandFav,user_BrandCart,user_BrandBuy,user_CatePv,user_CateFav,user_CateCart,user_CateBuy,user_ReBuyNum,user_ReBuyTimeGap,user_TimesFromPvToBuy,user_TimesFromFavToBuy,user_TimesFromCartToBuy,user_OtherNumFromPvToBuy,user_OtherNumFromFavToBuy,user_OtherNumFromCartToBuy,user_OtherNumFromBuyToBuy,user_OtherTimesFromPvToBuy,user_OtherTimesFromFavToBuy,user_OtherTimesFromCartToBuy,user_OtherTimesFromBuyToBuy,user_BrandPvToBuyTime,user_BrandFavToBuyTime,user_BrandCartToBuyTime,user_CatePvToBuyTime,user_CateFavToBuyTime,user_CateCartToBuyTime,user_BrandViewTime,user_CateViewTime,user_ReBuyBrandViewTime,user_ReBuyCateViewTime
511373,381456,True,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905236,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488902,381456,True,0,1,0,0,0,47,1,0,0,0,0,1,0,0,16,1,0,0,46,1,0,0,0,0,0,0,0,0,107.0,1873.0,0,0
345469,381456,True,0,7,0,1,0,12,0,2,0,0,0,7,0,1,2,0,1,0,5,0,1,0,0,0,0,0,0,0,118.0,345.0,0,0
232436,381456,True,0,3,0,1,0,17,0,4,0,0,0,3,0,1,6,0,3,0,14,0,3,0,0,0,0,0,0,0,2.0,453.0,0,0
737574,381456,True,0,1,0,0,0,24,1,0,0,0,0,1,0,0,14,1,0,0,23,1,0,0,0,0,0,0,0,0,8.0,518.0,0,0
247780,381456,True,0,1,0,0,0,7,0,0,0,0,0,1,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,240.0,361.0,0,0
869483,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130189,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,0,0
857640,381456,True,0,1,0,0,0,12,0,0,0,0,0,1,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,12.0,780.0,0,0
571398,381456,True,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8.0,198.0,0,0
54021,381456,True,0,2,0,0,0,13,0,0,1,0,0,2,0,0,4,0,0,1,11,0,0,1,0,0,0,0,0,0,18.0,335.0,0,0
80744,381456,True,0,1,0,0,0,25,0,0,1,0,0,1,0,0,7,0,0,1,24,0,0,1,0,0,0,0,0,0,22.0,1515.0,0,0
1122470,381456,True,0,24,1,1,1,117,2,1,1,0,0,14,1,1,20,1,0,0,81,1,0,0,11542.0,9529.0,72.0,749410.0,39397.0,72.0,906.0,3847.0,0,0
897528,381456,True,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,19.0,0,0
422842,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036828,381456,True,0,7,0,0,0,16,0,0,0,0,0,7,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,118.0,340.0,0,0
146942,381456,True,0,1,0,0,0,13,0,0,0,0,0,1,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,13.0,98.0,0,0
803318,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006660,381456,True,0,2,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0,8.0,0,0
608782,381456,True,0,13,0,0,1,13,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,69441.0,0,0,69441.0,0,0,330.0,330.0,0,0
348076,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,0,0
591515,381456,True,0,1,0,0,0,12,0,0,0,0,0,1,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5.0,80.0,0,0
562625,381456,True,0,1,0,0,0,34,0,2,0,0,0,1,0,0,17,0,2,0,33,0,2,0,0,0,0,0,0,0,12.0,1402.0,0,0
728327,381456,True,0,3,0,0,1,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,275.0,0,0,275.0,0,0,275.0,275.0,0,0
1086463,381456,True,0,8,0,0,1,8,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,76823.0,0,0,76823.0,0,0,127.0,127.0,0,0
776337,381456,True,0,2,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,68.0,123.0,0,0
29969,381456,True,0,1,0,1,0,76,0,6,1,0,0,1,0,1,14,0,4,1,75,0,5,1,0,0,0,0,0,0,22.0,2903.0,0,0
940737,381456,True,0,1,0,0,0,29,0,4,1,0,0,1,0,0,11,0,3,1,28,0,4,1,0,0,0,0,0,0,59.0,1727.0,0,0
864606,381456,True,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,44.0,0,0
321892,381456,True,0,2,0,0,0,47,0,0,0,0,0,2,0,0,16,0,0,0,45,0,0,0,0,0,0,0,0,0,141.0,1191.0,0,0
861390,381456,True,0,1,0,0,0,6,0,0,0,0,0,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20.0,0,0
415816,381456,True,0,32,0,0,1,43,0,0,1,0,0,5,0,0,6,0,0,0,8,0,0,0,556.0,0,0,920.0,0,0,333.0,920.0,0,0
983153,381456,True,0,1,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,56.0,119.0,0,0
500987,381456,True,0,1,0,0,0,16,0,0,1,0,0,1,0,0,5,0,0,1,15,0,0,1,0,0,0,0,0,0,34.0,291.0,0,0
85874,381456,True,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.0,0,0
238582,381456,True,0,5,0,0,0,12,0,0,0,0,0,5,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,188.0,302.0,0,0
45885,381456,True,0,1,0,0,0,11,0,0,0,0,0,1,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,19.0,217.0,0,0
853173,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719058,381456,True,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,107.0,0,0
582284,381456,True,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,44.0,0,0
2672,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363272,381456,True,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
747820,381456,True,0,5,1,0,1,5,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,43113.0,42853.0,0,43113.0,42853.0,0,282.0,282.0,0,0
552399,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693243,381456,True,0,0,0,0,0,16,0,1,1,0,0,0,0,0,10,0,1,1,16,0,1,1,0,0,0,0,0,0,0,527.0,0,0
823378,381456,True,0,1,0,0,0,15,0,0,1,0,0,1,0,0,6,0,0,1,14,0,0,1,0,0,0,0,0,0,8.0,215.0,0,0
5122,381456,True,0,9,0,0,1,9,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,258.0,0,0,258.0,0,0,258.0,258.0,0,0
1117566,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578066,381456,True,0,1,0,0,0,17,0,0,0,0,0,1,0,0,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,302.0,0,0
172230,381456,True,0,1,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,32.0,49.0,0,0
805924,381456,True,0,1,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,13.0,118.0,0,0
701018,381456,True,0,2,0,0,0,20,6,0,0,0,0,2,0,0,8,5,0,0,18,6,0,0,0,0,0,0,0,0,15.0,559.0,0,0
695089,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716789,381456,True,0,1,0,0,0,12,0,0,0,0,0,1,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,206.0,0,0
1121996,381456,True,0,1,0,0,0,68,5,9,0,0,0,1,0,0,18,5,7,0,67,5,9,0,0,0,0,0,0,0,16.0,2048.0,0,0
877112,381456,True,0,1,0,0,0,55,0,2,1,0,0,1,0,0,26,0,2,1,54,0,2,1,0,0,0,0,0,0,24.0,1960.0,0,0
576136,381456,True,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.0,176.0,0,0
739779,381456,True,0,6,0,0,0,21,1,2,0,0,0,6,0,0,6,1,2,0,15,1,2,0,0,0,0,0,0,0,514.0,1247.0,0,0
324074,381456,True,0,3,0,0,0,9,0,0,1,0,0,3,0,0,3,0,0,1,6,0,0,1,0,0,0,0,0,0,54.0,133.0,0,0
966098,381456,True,0,1,0,0,0,11,0,0,0,0,0,1,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,361.0,0,0
495671,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,27.0,0,0
863711,381456,True,0,2,0,0,0,33,1,3,1,0,0,2,0,0,9,1,3,1,31,1,3,1,0,0,0,0,0,0,48.0,1756.0,0,0
963509,381456,True,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,47.0,0,0
759212,381456,True,0,16,1,0,0,19,2,1,0,0,0,16,1,0,3,1,1,0,3,1,1,0,0,0,0,0,0,0,438.0,509.0,0,0
891544,381456,True,0,1,0,0,0,43,3,0,0,0,0,1,0,0,13,2,0,0,42,3,0,0,0,0,0,0,0,0,13.0,515.0,0,0
331922,381456,True,0,1,0,0,0,31,0,1,1,0,0,1,0,0,3,0,1,1,30,0,1,1,0,0,0,0,0,0,16.0,829.0,0,0
306945,381456,True,0,6,0,1,1,12,0,2,1,0,0,4,0,1,4,0,1,0,6,0,1,0,243.0,0,164.0,546.0,0,305.0,243.0,546.0,0,0
204766,381456,True,0,2,0,0,0,34,0,3,1,0,0,2,0,0,7,0,2,1,32,0,3,1,0,0,0,0,0,0,35.0,892.0,0,0
254713,381456,True,0,5,0,1,0,13,0,1,0,0,0,5,0,1,5,0,0,0,8,0,0,0,0,0,0,0,0,0,95.0,422.0,0,0
1075901,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530069,381456,True,0,2,0,0,0,11,0,0,1,0,0,2,0,0,3,0,0,1,9,0,0,1,0,0,0,0,0,0,26.0,307.0,0,0
799366,381456,True,0,7,1,1,0,12,1,1,0,0,0,7,1,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,115.0,170.0,0,0
1061754,381456,True,0,12,1,0,0,59,2,0,0,0,0,12,1,0,15,1,0,0,47,1,0,0,0,0,0,0,0,0,278.0,1578.0,0,0
1101892,381456,True,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
180927,381456,True,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,51.0,343.0,0,0
443370,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658857,381456,True,0,1,1,0,0,18,2,0,0,0,0,1,1,0,10,1,0,0,17,1,0,0,0,0,0,0,0,0,2.0,926.0,0,0
688344,381456,True,0,11,0,0,1,45,0,1,1,0,0,11,0,0,17,0,1,0,34,0,1,0,983.0,0,0,1671.0,0,552.0,448.0,1671.0,0,0
446997,381456,True,0,1,0,0,0,7,0,1,0,0,0,1,0,0,3,0,1,0,6,0,1,0,0,0,0,0,0,0,15.0,91.0,0,0
702608,381456,True,0,10,0,0,0,48,0,1,0,0,0,10,0,0,13,0,1,0,38,0,1,0,0,0,0,0,0,0,239.0,1505.0,0,0
25289,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295475,381456,True,0,13,0,0,0,29,0,0,0,0,0,13,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,322.0,783.0,0,0
225078,381456,True,0,6,0,0,0,7,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,106.0,106.0,0,0
163782,381456,True,0,2,0,0,0,50,4,1,1,0,0,2,0,0,13,3,1,1,48,4,1,1,0,0,0,0,0,0,156.0,1747.0,0,0
361475,381456,True,0,1,0,0,0,291,4,0,2,0,0,1,0,0,15,2,0,1,290,4,0,2,0,0,0,0,0,0,13.0,7307.0,0,0
839916,381456,True,0,2,0,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1091.0,0,0,1091.0,0,0,11.0,11.0,0,0
141975,381456,True,0,1,0,0,0,17,0,0,0,0,0,1,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1112.0,0,0
266620,381456,True,0,2,0,0,0,38,1,0,2,0,0,2,0,0,6,1,0,2,36,1,0,2,0,0,0,0,0,0,39.0,1677.0,0,0
659274,381456,True,0,2,0,0,0,63,2,0,1,0,0,2,0,0,12,2,0,1,61,2,0,1,0,0,0,0,0,0,19.0,1321.0,0,0
896019,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606076,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,38.0,0,0
465221,381456,True,0,2,0,0,0,346,0,1,3,0,0,2,0,0,40,0,1,3,344,0,1,3,0,0,0,0,0,0,298.0,11391.0,0,0
120558,381456,True,0,1,0,0,0,76,0,0,2,0,0,1,0,0,13,0,0,2,75,0,0,2,0,0,0,0,0,0,14.0,1882.0,0,0
769464,381456,True,0,1,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,7.0,15.0,0,0
154472,381456,True,0,7,0,1,1,7,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,76.0,0,4.0,76.0,0,4.0,76.0,76.0,0,0
223236,381456,True,0,5,1,0,1,11,1,0,1,0,0,2,1,0,1,0,0,0,1,0,0,0,61.0,11.0,0,61.0,11.0,0,50.0,61.0,0,0
759940,381456,True,0,1,0,0,0,59,0,2,1,0,0,1,0,0,20,0,2,1,58,0,2,1,0,0,0,0,0,0,42.0,2624.0,0,0
806366,381456,True,0,1,0,0,0,25,0,1,1,0,0,1,0,0,13,0,1,1,24,0,1,1,0,0,0,0,0,0,23.0,743.0,0,0
334981,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472663,381456,True,0,12,0,2,0,13,0,3,0,0,0,12,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,346.0,355.0,0,0
651749,381456,True,0,1,0,0,0,21,0,0,0,0,0,1,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,12.0,1032.0,0,0
670926,381456,True,0,1,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100.0,0,0
175307,381456,True,0,1,0,0,0,10,0,0,0,0,0,1,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,26.0,90.0,0,0
481261,381456,True,0,1,0,0,0,132,0,8,1,0,0,1,0,0,31,0,7,1,131,0,8,1,0,0,0,0,0,0,12.0,3709.0,0,0
1037642,381456,True,0,1,0,0,0,35,0,0,0,0,0,1,0,0,12,0,0,0,34,0,0,0,0,0,0,0,0,0,27.0,1040.0,0,0
945123,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908975,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,0,0
75237,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689806,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768365,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,20.0,0,0
1058224,381456,True,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
779238,381456,True,0,8,0,1,1,30,0,5,1,0,0,5,0,1,8,0,3,0,19,0,3,0,201.0,0,162.0,60753.0,0,6046.0,201.0,1372.0,0,0
446832,381456,True,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,28.0,0,0
154283,381456,True,0,5,0,0,1,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,307.0,0,0,307.0,0,0,307.0,307.0,0,0
1073122,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,96.0,0,0
293488,381456,True,0,1,1,0,0,69,10,1,4,0,0,1,1,0,22,9,1,4,68,9,1,4,0,0,0,0,0,0,27.0,2005.0,0,0
748975,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,42.0,0,0
495464,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504102,381456,True,0,1,0,0,0,51,0,2,0,0,0,1,0,0,25,0,2,0,50,0,2,0,0,0,0,0,0,0,0,2461.0,0,0
308977,381456,True,0,6,2,2,0,23,2,2,0,0,0,6,2,2,13,0,0,0,17,0,0,0,0,0,0,0,0,0,124.0,450.0,0,0
260778,381456,True,0,1,0,0,0,7,0,0,0,0,0,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,30.0,132.0,0,0
84338,381456,True,0,14,0,0,1,27,0,0,1,0,0,13,0,0,5,0,0,0,6,0,0,0,3698.0,0,0,3698.0,0,0,242.0,422.0,0,0
1002484,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049256,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238534,381456,True,0,3,0,0,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,109.0,0,0,109.0,0,0,109.0,109.0,0,0
648447,381456,True,0,1,0,0,0,6,0,0,0,0,0,1,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,23.0,409.0,0,0
1074714,381456,True,0,1,0,0,0,5,0,1,2,0,0,1,0,0,3,0,1,2,4,0,1,2,0,0,0,0,0,0,38.0,345.0,0,0
180249,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537730,381456,True,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
973508,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078023,381456,True,0,1,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,58.0,135.0,0,0
753473,381456,True,0,1,0,0,0,40,0,5,0,0,0,1,0,0,10,0,5,0,39,0,5,0,0,0,0,0,0,0,0,1342.0,0,0
318879,381456,True,0,1,0,0,0,30,1,1,0,0,0,1,0,0,6,1,1,0,29,1,1,0,0,0,0,0,0,0,28.0,1325.0,0,0
247724,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185625,381456,True,0,1,0,0,0,34,0,0,1,0,0,1,0,0,20,0,0,1,33,0,0,1,0,0,0,0,0,0,11.0,908.0,0,0
698337,381456,True,0,7,1,0,0,12,1,0,0,0,0,7,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,294.0,435.0,0,0
331181,381456,True,0,10,0,0,1,58,1,0,1,0,0,9,0,0,9,1,0,0,28,1,0,0,70630.0,0,0,219600.0,955.0,0,285.0,1047.0,0,0
784613,381456,True,0,1,0,0,0,21,0,1,1,0,0,1,0,0,3,0,1,1,20,0,1,1,0,0,0,0,0,0,7.0,439.0,0,0
1037142,381456,True,0,1,0,0,0,18,3,0,1,0,0,1,0,0,6,2,0,1,17,3,0,1,0,0,0,0,0,0,9.0,692.0,0,0
752183,381456,True,0,6,1,0,1,6,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,518.0,324.0,0,518.0,324.0,0,194.0,194.0,0,0
1101922,381456,True,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,58.0,0,0
491864,381456,True,0,1,0,0,0,22,0,1,0,0,0,1,0,0,5,0,1,0,21,0,1,0,0,0,0,0,0,0,12.0,718.0,0,0
741491,381456,True,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
796181,381456,True,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208614,381456,True,0,3,0,0,0,5,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,162.0,176.0,0,0
120919,381456,True,0,1,0,0,0,7,0,0,0,0,0,1,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,40.0,95.0,0,0
850272,381456,True,0,1,0,0,0,26,1,0,0,0,0,1,0,0,9,1,0,0,25,1,0,0,0,0,0,0,0,0,14.0,791.0,0,0
353752,381456,True,0,1,0,0,0,30,0,0,0,0,0,1,0,0,9,0,0,0,29,0,0,0,0,0,0,0,0,0,8.0,845.0,0,0
807827,381456,True,0,1,0,0,0,5,0,0,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,108.0,0,0
645243,381456,True,0,1,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44.0,0,0
3399,381456,True,0,1,0,0,0,6,0,0,0,0,0,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7.0,0,0
689813,381456,True,0,1,0,0,0,29,1,0,0,0,0,1,0,0,14,1,0,0,28,1,0,0,0,0,0,0,0,0,0,705.0,0,0
243178,381456,True,0,2,0,0,0,18,0,0,0,0,0,2,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,35.0,435.0,0,0
673115,381456,True,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,121.0,0,0
1036062,381456,True,0,3,0,0,0,70,3,0,0,0,0,3,0,0,24,2,0,0,67,3,0,0,0,0,0,0,0,0,93.0,2065.0,0,0
702307,381456,True,0,2,1,0,0,10,1,0,0,0,0,2,1,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,35.0,263.0,0,0
541729,381456,True,0,2,0,0,0,36,0,0,1,0,0,2,0,0,14,0,0,1,34,0,0,1,0,0,0,0,0,0,130.0,1897.0,0,0
970821,381456,True,0,1,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,9.0,63.0,0,0
581406,381456,True,0,0,0,0,0,40,5,0,1,0,0,0,0,0,7,2,0,1,40,5,0,1,0,0,0,0,0,0,0,1098.0,0,0
83373,381456,True,0,6,0,0,0,43,0,1,4,0,0,6,0,0,4,0,1,1,37,0,1,4,0,0,0,0,0,0,107.0,1636.0,0,0
594932,381456,True,0,1,0,0,0,14,0,0,0,0,0,1,0,0,12,0,0,0,13,0,0,0,0,0,0,0,0,0,32.0,283.0,0,0
